Date,Close,High,Low,Open,Volume
2025-02-13,22.0,23.25,20.770000457763672,23.0,43599000
2025-02-14,24.549999237060547,24.950000762939453,21.507999420166016,22.0,11087800
2025-02-18,25.700000762939453,26.350000381469727,24.75,25.0,5010900
2025-02-19,24.75,25.670000076293945,24.5,25.64999961853028,2214900
2025-02-20,24.530000686645508,25.75,23.96999931335449,25.5,7014700
2025-02-21,23.559999465942383,25.020000457763672,23.549999237060547,24.479999542236328,1677200
2025-02-24,23.350000381469727,24.440000534057617,23.049999237060547,24.049999237060547,1594700
2025-02-25,23.709999084472656,24.01000022888184,23.200000762939453,23.309999465942383,1721900
2025-02-26,24.059999465942383,24.459999084472656,23.709999084472656,23.71999931335449,1387900
2025-02-27,23.600000381469727,24.459999084472656,23.600000381469727,24.40999984741211,1151800
2025-02-28,24.0,24.1200008392334,23.19499969482422,23.39999961853028,779400
2025-03-03,23.56999969482422,24.01000022888184,23.229999542236328,24.01000022888184,1747700
2025-03-04,23.270000457763672,24.0,23.0,23.38999938964844,1841400
2025-03-05,23.40999984741211,23.6200008392334,23.0,23.270000457763672,1006500
2025-03-06,23.0,23.75,22.5,23.0,2016800
2025-03-07,22.049999237060547,23.170000076293945,20.950000762939453,22.64999961853028,3192800
2025-03-10,19.739999771118164,22.09000015258789,19.540000915527344,21.0,3413100
2025-03-11,19.270000457763672,20.30500030517578,18.43000030517578,20.170000076293945,2281000
2025-03-12,19.270000457763672,20.0,19.1200008392334,19.420000076293945,1157300
2025-03-13,18.1200008392334,19.43000030517578,17.559999465942383,19.43000030517578,2722100
2025-03-14,18.700000762939453,19.39999961853028,18.1200008392334,18.459999084472656,1282000
2025-03-17,19.81999969482422,19.88999938964844,18.780000686645508,18.799999237060547,1286200
2025-03-18,19.739999771118164,19.96999931335449,19.200000762939453,19.5,861100
2025-03-19,19.950000762939453,20.18000030517578,19.600000381469727,19.76000022888184,1103800
2025-03-20,19.8799991607666,20.170000076293945,19.545000076293945,19.64999961853028,702200
2025-03-21,20.25,20.5,19.26000022888184,19.51000022888184,4988800
2025-03-24,21.229999542236328,21.270000457763672,20.3439998626709,20.450000762939453,1411800
2025-03-25,21.799999237060547,22.56999969482422,20.8700008392334,21.520000457763672,2558900
2025-03-26,21.540000915527344,22.46500015258789,20.100000381469727,21.809999465942383,2419600
2025-03-27,20.520000457763672,21.59600067138672,20.39999961853028,21.299999237060547,1832400
2025-03-28,19.540000915527344,20.18000030517578,18.63999938964844,20.18000030517578,2331800
2025-03-31,18.75,19.479999542236328,18.21999931335449,19.479999542236328,2273200
2025-04-01,18.290000915527344,19.100000381469727,18.14999961853028,18.600000381469727,4093600
2025-04-02,18.950000762939453,19.0,17.90999984741211,18.100000381469727,3233000
